"project_id","total_budget_personnel_senior_staff","total_budget_personnel_postdocs","total_budget_personnel_students","total_budget_personnel_other","total_budget_personnel_total_direct","total_budget_travel","total_budget_equipment","total_budget_other_publication_fees","total_budget_other_conferences_workshops","total_budget_other_other","total_budget_other_total_direct","total_budget_total_direct","total_budget_subcontracting","total_budget_total_costs","phase"
"CONTRIBUTE/API-MOSAIC",0,0,0,10500,18000,3000,0,0,0,3000,6000,24000,6000,30000,1
"CONTRIBUTE/API-ROGER",0,0,2000,22000,24000,0,0,0,0,0,0,24000,6000,30000,1
"CONTRIBUTE/BOOST4EPILEPSY",0,17958,5535,2817,26310,3690,0,0,0,0,3690,30000,0,30000,1
"CONTRIBUTE/BOSTORD",30000,0,0,0,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/BRAINSCOREHUMAN",NA,12000,14000,NA,NA,NA,4000,NA,NA,NA,NA,30000,NA,30000,1
"CONTRIBUTE/BRAINSCORETMPRL",-999999,10000,16000,0,NA,NA,4000,NA,NA,NA,NA,30000,NA,30000,1
"CONTRIBUTE/CA ORD",0,0,0,30000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/CATCHARACTPROVI",0,0,0,20000,27500,2500,0,0,0,0,30000,30000,0,30000,1
"CONTRIBUTE/ENVIPATH+EDGEBP",0,0,0,30000,0,0,0,0,0,0,0,0,0,30000,1
"CONTRIBUTE/FACILITATE",0,2500,2500,22500,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/FAIR-CITIES",NA,NA,NA,26000,NA,4000,NA,NA,NA,NA,NA,NA,NA,30000,1
"CONTRIBUTE/FIRE",0,30000,0,0,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/FLAKE",NA,NA,NA,28000,28000,NA,NA,NA,2000,NA,2000,30000,NA,30000,1
"CONTRIBUTE/GLOVDH",0,0,19699.2,0,27241.2,2750,0,0,0,0,0,29991.2,0,29991.2,1
"CONTRIBUTE/GPM-API",0,0,0,30000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/GRAND TOUR",NA,NA,0,21500,NA,5000,3500,1000,0,NA,NA,NA,NA,30000,1
"CONTRIBUTE/MAST",NA,NA,NA,30000,30000,NA,NA,NA,NA,NA,0,30000,0,30000,1
"CONTRIBUTE/MISHMASH",NA,NA,5631,1964,7595,NA,NA,NA,NA,NA,0,30095,0,30095,1
"CONTRIBUTE/MMS",0,0,0,30000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/NEST-BOT",0,10000,0,0,30000,0,0,0,0,0,0,30000,0,15000,1
"CONTRIBUTE/NGSDATABOOSTER",4000,0,0,20000,28000,0,0,2000,0,0,0,NA,NA,30000,1
"CONTRIBUTE/OGAIS",0,20000,7000,0,27000,1800,0,0,0,0,1200,3000,0,30000,1
"CONTRIBUTE/OPAS",NA,22000,NA,4500,26500,2000,NA,1500,NA,NA,3500,30000,NA,30000,1
"CONTRIBUTE/OPENJMP",0,0,0,26905,26905,3000,0,0,0,0,3000,29905,0,29905,1
"CONTRIBUTE/OPENMIC&AI",0,0,11200,0,11200,2600,12240,0,3725,235,18800,30000,0,30000,1
"CONTRIBUTE/OPENSENSE",NA,18000,7000,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,30000,1
"CONTRIBUTE/ORSMD",0,0,22500,0,0,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/PHENOMAST",5000,0,5500,0,0,0,3000,0,1000,0,0,25000,5000,30000,1
"CONTRIBUTE/PYCSOU-FAIR",30000,0,0,0,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/PYSPM",0,0,8000,0,0,2000,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/SCPAW",NA,NA,15600,NA,15600,3500,7500,NA,3400,NA,14400,30000,NA,30000,1
"CONTRIBUTE/SOLARFUELSDB+",0,0,0,7794,28703,1297,0,0,0,0,1297,30000,0,30000,1
"CONTRIBUTE/SOP",0,0,0,18000,28000,2000,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/SPAM-ORD",0,0,0,10000,10000,4000,0,0,9000,2000,15000,25000,5000,30000,1
"CONTRIBUTE/SRFI-DB",0,0,0,21803,29799,0,0,0,0,0,0,29799,0,29799,1
"CONTRIBUTE/STILLBERGDAT",3267,0,23400,0,29853,0,0,0,0,0,0,29853,0,29853,1
"CONTRIBUTE/THRACE",0,30000,0,0,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/TIMERESHDRMX",11000,0,0,0,11000,3000,8000,0,0,0,11000,22000,0,22000,1
"CONTRIBUTE/TRANSCODE",NA,4500,NA,25500,30000,NA,NA,NA,NA,NA,NA,30000,NA,30000,1
"CONTRIBUTE/TREASURE",0,0,6000,24000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/TREENETGAPS",0,0,0,15000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/TSDF",0,0,0,30000,30000,0,0,0,0,0,0,30000,0,30000,1
"CONTRIBUTE/UQBENCH",NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,NA,30000,1
"CONTRIBUTE/WASHCOLLAB",NA,NA,NA,13500,13500,5600,NA,NA,4900,NA,10500,24000,6000,30000,1
"CONTRIBUTE/WEAR-MED",0,0,10100,19900,30000,0,0,0,2000,0,0,32000,0,32000,1
"CONTRIBUTE/XYT",0,0,0,5000,28000,0,0,2000,0,0,2000,30000,0,30000,1
"ESTABLISH/OPEM",524000,0,0,0,524000,4000,168000,0,4000,0,176000,7e+05,0,1500000,1
"ESTABLISH/OPEM",786000,0,0,0,786000,6000,0,5250,2750,0,14000,8e+05,0,8e+05,2
"ESTABLISH/PREMISE",387100,239000,0,0,626100,8000,0,0,10000,0,18000,644100,0,644100,1
"ESTABLISH/PREMISE",312000,309000,0,0,621000,8000,0,9000,10000,0,27000,648000,0,648000,2
"EXPLORE/ADDLIDAR",0,97000,0,38000,135000,3000,6000,2000,4000,0,6000,150000,0,150000,1
"EXPLORE/ASTROORDAS",NA,139277,NA,NA,NA,5000,NA,NA,5000,NA,NA,149277,NA,149277,1
"EXPLORE/COORDINEO",NA,1e+05,20000,NA,NA,5000,12500,NA,12500,NA,NA,150000,NA,150000,1
"EXPLORE/DCSM",75000,NA,33777,NA,108777,7000,10000,4000,2000,NA,131777,131777,0,131777,1
"EXPLORE/EXAIRIM",36000,105000,0,0,141000,4000,2000,0,0,0,6000,147000,0,147000,1
"EXPLORE/FAIRGEO",71000,0,0,45000,116000,500,3000,2000,3000,500,9000,125000,25000,150000,1
"EXPLORE/FAIRQUAL",NA,106030,0,22000,128030,13970,NA,NA,6000,2000,21970,150000,NA,150000,1
"EXPLORE/FOREST3DTWIN",20000,0,0,130000,130000,0,0,-1,0,0,0,0,0,150000,1
"EXPLORE/FRAME",NA,79605,NA,57600,NA,4000,NA,NA,5500,NA,NA,146705,NA,146705,1
"EXPLORE/GENDIB-ORD",67327,0,0,79273,146600,600,0,0,1200,6000,1800,148400,0,150000,1
"EXPLORE/HT-CHEMBORD",30000,50000,0,50000,130000,6000,0,0,0,0,0,136000,10000,146000,1
"EXPLORE/ILOG",54900,0,27360,63000,145260,0,0,0,4000,0,4000,149260,0,149260,1
"EXPLORE/INOAP",75000,NA,NA,15000,NA,NA,15000,NA,3000,7000,10000,110000,40000,150000,1
"EXPLORE/INSCRIBE",0,74807,0,0,149807,193,0,0,0,0,193,150000,0,150000,1
"EXPLORE/MED-WEAR",0,138736,0,138735,138735,10000,0,0,5000,0,19000,157735,0,157735,1
"EXPLORE/NHCDATAVISION",25000,40000,6250,70000,141250,8750,0,0,0,0,8750,150000,0,118750,1
"EXPLORE/NMRPRIME",0,135000,0,0,135000,3000,12000,0,0,0,15000,150000,0,150000,1
"EXPLORE/OPEN-ACTRIS",41000,105000,0,0,145000,4000,0,0,0,0,4000,149000,0,150000,1
"EXPLORE/OPENCHEMUSES",0,140000,0,0,140000,0,0,6500,3500,0,6500,150000,0,150000,1
"EXPLORE/OPENNEXUS-E",28350,48300,NA,68250,144900,NA,NA,NA,4000,NA,NA,148900,NA,111675,1
"EXPLORE/OPENPULSE",0,0,0,144000,144000,0,0,0,6000,0,0,0,0,150000,1
"EXPLORE/OPENSPM",76995,NA,43535,NA,120530,3500,8000,NA,8000,NA,NA,NA,10000,150030,1
"EXPLORE/OPENSPM+",86645,0,43163,0,129808,4000,4000,0,8000,4192,20192,150000,0,150000,1
"EXPLORE/OPENWASHDATA",20000,0,0,114700,134700,4090,5000,0,6200,0,15290,149990,0,149990,1
"EXPLORE/OPENWASHDATA",0,0,0,113400,113400,600,0,0,6000,0,6600,120000,30000,150000,1
"EXPLORE/SOLIDIPES",77400,69020,0,0,146420,0,0,0,3580,0,3580,150000,0,150000,1
"EXPLORE/SUCCESS",68670,0,0,56826,125496,6000,14500,0,4000,0,24500,149996,0,149996,1
"EXPLORE/XCELL",34170,97800,0,0,131970,5830,0,0,12200,0,18030,150000,0,150000,1
